טמא,to be unclean
גבר,mighty
נוס,to flee
צדק,righteousness
שׁמשׁ,"sun, Shemesh"
שׂמח,to rejoice
שׁנה,second
ציה,Zion
כסה,to cover
מות,death
צפה,north
נגד,"in front of, opposite"
רבב,"multitude, abundance, greatness"
אשׁר,"Assyria, step"
נגע,"to touch, strike"
נשׁה,Manasseh
חכם,wisdom
יעד,congregation
שׁבר,to break
שׂנא,to hate
שׁמן,eight
הלל,to praise
נסע,"to pull out; to set out, journey"
יה אב,Joab
עבד,service
רדף,to pursue
חנה,to camp
שׂ מה,"like, as"
שׁ,"who, which, that"
שׁחת,"to destroy, corrupt"
אז,then
יין,wine
ימן,"right hand, south"
עלה,"above, upward"
שׁמה אל,Samuel
שׁכן,"tabernacle, dwelling"
נחשׁ,bronze
קרא,"to encounter, meet"
חכם,wise
אישׁ,there is
סוס,horse
נוח,to rest
נחל,"torrent, brook"
פתח,to open
חלל,"to profane, begin"
כסא,throne
ארם,Aram
זבח,to sacrifice
ספר,number
ערב,evening
עשׂר,"ten, -teen"
פנה,to turn
געד,Gilead
אף,"also, indeed"
חמה,wall
,lest
פר,bull
קבר,to bury
שׁאר,to remain
חקק,statute
נשׂא,"leader, prince"
שׁכן,to dwell
רמה יה,Jeremiah
אמת,truth
קבץ,to gather
כוח,strength
בושׁ,to be ashamed
יחם,"wrath, heat"
חצה,half
מן,from
נגשׁ,to approach
שׁלך,"to throw, fling, cast"
גדל,"to grow up, become great"
עצם,bone; self
צדק,"righteousness, Zedek"
קהל,assembly
אור,light
בכר,"birthright, firstborn"
נחנו,we
לכד,to capture
עשׂר,"ten, -teen"
רכב,"chariot, upper millstone"
אח,sister
חיה,living
ישׁר,"straight, right"
נהר,river
פרה,fruit
פעם,"beat, foot, time"
יעב,abomination
יטב,"to be good, pleasing"
לשׁן,tongue
מלך,kingdom
קדשׁ,holy
שׁפך,to pour out
בטח,to trust
שׁלם,"to be complete, be sound, pay, make peace"
גרשׁ,"open land, pasture"
נבא,to prophesy
קטר,to make sacrifices smoke
שׂרף,to burn
בכה,to weep
כבד,"to be heavy, honored"
עלה,"upon, over, above"
שׁקר,lie
בלה,except
חשׁב,"to think, account"
נגב,"south country, Negeb"
עמד,pillar
ידה,"to praise, confess"
כנף,"wing, edge"
שׁבת,sabbath
עפר,dust
,only
אב שׁלם,Absalom
שׁמר,Samaria
נחם,"to comfort, relent"
צחק,Isaac
כבשׂ,lamb
ספר,"to count, relate"
יתר,to remain over
שׁלשׁ,third
עמם,Ammon
במה,"high place, Bamah"
בעד,"behind, through"
גאל,"to redeem, avenge"
חקק,statute
רוץ,to run
מוד,continually
ירב עם,Jeroboam
ראה,appearance
כפר,"to cover, make atonement"
שׁכח,to forget
מעט,"little, few"
רחב,width
רעב,hunger
הן,behold
ענה,because
אדם,Edom
עור,skin
שׁבע,seventh
שׁרת,to minister
אל,God
לבשׁ,to wear
רעע,to do evil
שׂבע,"to satisfy, fill"
,Esau
אמן,to trust
חיה,"animal, beast"
חמר,donkey
טהר,clean
יחד,together
יתר,"remainder, excess"
ארך,length
הפך,to turn
חלל,"slain, defiled"
טהר,"to be clean, purify"
מלט,to escape
שׂמח,joy
שׁמם,"to be desolate, appalled"
חרה,"to burn, be angry"
פשׁע,"transgression, rebellion"
אח אב,Ahab
כנע,Canaan
גור,stranger
חלב,fat
כרם,"vineyard, Haccherem"
עבר,beyond
קצה,end
זרע,arm
כרב,cherubim
מלך,kingdom
תמם,"blameless, perfect"
ילד,boy
שׁמד,to destroy
ידע,knowledge
יעץ,counsel
דלה,door
טמא,unclean
שׁיר,to sing
שׁית,"to put, set"
שׁקל,shekel
יהד,"Jew, Judean"
למד,"to learn, teach"
ענן,cloud
שׁלם,peace offering
אמר,Amorite
המה,"multitude, sound"
און,"iniquity, Aven"
פאה,"side, edge, corner"
קנה,to buy
רחק,"far, Rehokim"
פלל,to pray
גור,"to sojourn, dwell"
כלל,all
עוד,"testimony, law, decree"
זכר,male
לא,not
סגר,to shut
סתר,"to hide, conceal"
עזר,to help
פה,here
קלל,"to curse, be easy, light, swift"
יה נתן,Jonathan
יה שׁפט,Jehoshaphat
כשׂד,Chaldeans
מהר,to hasten
משׁל,to rule
הכל,"temple, palace"
חשׁך,dark
מכר,to sell
עור,"to arouse, stir up, uncover"
ענה,"poor, afflicted"
קרב,wood-offering
שׁחט,to slaughter
אצר,treasure
אות,sign
עזז,might
ענה,"to oppress, humiliate; to be afflicted"
שׁור,ox
אל,El (name)
גרל,lot
ישׁע,salvation
שׁמר,watch
נגע,"mark, plague"
רכב,to mount and ride
שׁיר,song
תשׁע,nine
חנן,to show favor
פלל,prayer
ברזל,iron
קנה,cattle
נער,girl
קרן,"horn, Keren"
קשׁת,bow
שׁלל,"spoil, Shalal"
רום,"offering, contribution"
גדד,Gad
חלה,"to be sick, entreat"
קדשׁ,sanctuary
ערך,to arrange
קרב,near
זעק,to cry out
מאס,to reject
זרח,east
נצב,to stand
סלל,Selah
,goat (f.)
חזק יה,Hezekiah
אסר,to bind
ארז,cedar
בלה,"no, never"
הבל,"vanity, futility, breath"
חפץ,to delight
חרף,reproach
פלא,to be wonderful
צור,rock
קיר,wall
כנע,Canaanite
בור,"pit, cistern, Bor"
בטן,belly
ידע,why?
רחץ,"to wash, bathe"
שׁפר,trumpet
אל עזר,Eleazar
ראה בן,Reuben
אמר,to say
ברך,blessing
גבע,hill
הוה,"to be, become"
עוף,bird
שׁבת,"to cease, rest"
,table
לבן,Lebanon
זור,stranger
חנן,"favor, grace"
כסל,fool
לין,"to lodge, stay overnight"
משׁח,to anoint
נבט,to look
צרר,adversary
צרר,distress
ריב,"to strive, contend"
דין,Dan
עוד,witness
עמק,"valley, Emek"
קדם,east
רפא,to heal
תקע,"to blow, thrust"
ככר,"round, valley, talent"
טוב,goodness
כתף,"side, shoulder"
פרשׂ,to spread out
קבר,grave
קצץ,end
אב מלך,Abimelech
אחז,possession
גבר,(strong) man
חלק,portion
פוץ,"to scatter, overflow"
שׁאר,remnant
אשׁ,offering by fire
חלם,dream
ירא,fear
כשׁל,to stumble
מלא,full
נצח,"to direct (music), oversee"
צלח,"to prosper, succeed, rush"
,Sheol
שׁכם,to rise early
תפשׂ,to seize
אחז,to hold
אתה,you (f. sing)
יאר,"river, Nile"
תמם,to be complete
ארר,to curse
ברח,to flee
דרך,"to tread, walk"
כ,"as, like"
סלע,Rock
קרע,to tear
שׁפח,maidservant
אב נר,Abner
אל יה,Elijah
גבר,"might, strength"
חגג,feast
נצר,"to watch, keep"
קנה,reed
ריב,"strife, dispute"
שׁקה,to cause to drink
חבר,Hebron
,Nebuchadrezzar
אבה,needy
אחר,"end, latter"
איך,how?
אלם,"porch, cf. ulam"
אצל,beside
דוד,"beloved, uncle"
קדם,"east, ancient times"
אב רום,Abram
אלף,chief
זנה,to be a harlot
חמס,"violence, wrong"
גנן,shield
נדר,vow
נסך,libation
ערב,desert plain
קטר,incense
שׂכל,"to be wise, prudent, understand"
בל עם,Balaam
בשׁן,Bashan
,Mordecai
ארח,"way, path"
בלה,without
בער,to burn
יבשׁ,"to be dry, wither"
יכח,"to decide, reprove"
נחל,"to inherit, possess"
נטע,to plant
פדה,to redeem
מדן,Midian
אל,God
זה,this
רחק,to be far
רוח,smell
שׁדד,to devastate
הלל,praise
איב,Job
אל שׁוע,Elisha
אסא,Asa
יה הוא,Jehu
אדין,then
אדן,socket
יעץ,to counsel
זמר,psalm
מלך,kingdom
פעל,"to do, make"
פרשׁ,"horseman, horse"
ירח,Jericho
אמה,handmaid
זרע,to sow
חזק,strong
טרם,before
יער,forest
חשׁב,thought
עשׂר,ten
צעק,to cry out
רבע,fourth
רצה,favor
שׁמם,desolation
צדק יה,Zedekiah
אלם,widow
גפן,vine
חדל,"to cease, refrain"
חזה,to see
חלק,"to divide, share"
חצה,arrow
כעס,to be angry
עמל,trouble
שׁנן,"tooth, ivory"
סתר,Esther
אבה,to be willing
גמל,camel
דבק,to cling to
דבשׁ,honey
ירע,curtain
רום,height
ערה,nakedness
קטן,"small, young"
שׁוא,"vain, false, empty"
שׂמא,left
המן,Haman
לבן,Laban
חדשׁ,new
חתת,to be dismayed
יצק,"to pour, cast"
ל הם,"to, for"
מדד,measure
דין,province
מצץ,unleavened bread
,choice flour
ספר,scribe
עלה,upper; Most High
צלל,shadow
רנן,to sing for joy
צדק,Zadok
מדד,to measure
אחר,tomorrow
שׂער,male goat
דין  אל,Daniel
אשׁה יה,Josiah
אחר,last
בקע,"to cleave, split"
אוי,woe!
רבה,many
יום,by day
כבס,to wash
נדח,"to banish, drive away"
עבר,"because of, for the sake of; produce"
קרשׁ,board
ראשׁ,"beginning, first"
תעה,to err
יה ידע,Jehoiada
פתל,Naphtali
בתל,virgin
חרם,"to ban, devote, destroy"
טבע,ring
יסר,"discipline, instruction"
נכר,"to recognize, disguise, treat as foreign"
נשׂג,"to reach, overtake"
רבב,chief
רחב עם,Rehoboam
אמן,faithfulness
אפד,ephod
בגד,to act treacherously
גאה,"pride, majesty"
עלה,"ascent, step"
שׁקל,weight
נגף,to strike
פחד,dread
פסח,Passover
קצר,harvest
רצה,"to accept, pleased with"
שׁבה,"captivity, captive"
,blue
פאר,"glory, beauty"
יה,LORD
אי,where?
אמר,speech
ברא,to create
גיל,to rejoice
גלל,idol
דלל,poor
הוא,they (f.)
חבל,"rope, region"
חנת,spear
יצב,to stand
לשׁך,room
נכה,wound
נבל,carcass
סמך,"to lean, support"
עדה,forever
,sackcloth
חת,Hittite
שׁמע אל,Ishmael
,"Almighty, Shaddai"
אריה,lion
הן,here
חיל,"to writhe, travail, wait"
חרשׁ,"to be deaf, silent"
ידע,to know
מתן,loins
סלח,to forgive
פרר,to break
צפה,to overlay
קוה,"to wait for, hope"
קטן,"small, young"
רחם,"to have compassion, love"
רצח,to murder
שׁבה,to take captive
,sheep
שׁכם,Shechem
יה אושׁ,Joash
רחל,Rachel
אשׁם,guilt offering
דבר,pestilence
יחד,together
ירה,"to teach, show"
מאן,to refuse
שׁכב,bed
שׁתה,feast
נכר,foreign
נער,youth
עצר,to restrain
פגע,"to meet, encounter"
פרץ,to break through
קדם,before
קום,height
קשׁב,"to attend, listen"
רפה,"to sink, fail, leave alone"
אסף,Asaph
נוח,Noah
או לא,perhaps
זמר,to sing praise
חמשׁ,fifth
יצר,"to form, plan, make pottery"
גדל,tower
,"official, eunuch"
עמד,with
בעל,Baal
זבל,Zebulun
שׁבע,Sheba
אכל,food
אפס,end
אשׁר,blessed
בחר,young man
בית,house
גרשׁ,"to drive out, cast up"
חגר,to gird
חלב,milk
חלץ,"to deliver, withdraw, equip"
ירא,fear
ישׁב,"dwelling, seat"
מרה,to rebel
רכב,chariot
נשׂא,"load, burden"
נקה,"to be unpunished, clean, free"
נור,lamp
צרר,"to bind, restrict, distress"
קשׁר,"to bind, conspire"
רוע,to shout
שׁבר,"break, fracture"
שׁמע,Simeon
שׁמע,Shimei
אור,to be light
בזז,"to plunder, spoil"
בלל,"to mix, give feed"
הרה,to conceive
הרס,to destroy
יחל,"to wait, hope"
לוח,"tablet, plank"
עלל,deed
מתי,when?
נגד,"leader, ruler"
נוח,soothing
נצח,forever
נקה,"clean, innocent"
פשׁט,"to strip, raid"
קנא,jealousy
רחב,"square, street"
בוא,"produce, harvest"
אשׁר,Asher
בלק,Balak
גבע,Gibeah
אישׁ שׂכר,Issachar
אן,where?
אנשׁ,man
בדל,to be separate
בזה,to despise
בטח,security
גלה,captivity
זוב,to flow
חרב,waste
יסד,"to lay a foundation, establish"
יפה,beautiful
יתם,orphan
כנר,lyre
חלק,division
נור,lampstand
נוע,to shake; to wander
נתץ,to break down
שׁבה שׁוב,captivity
,scarlet
שׁקט,to be quiet
בין,understanding
יה נתן,Jonathan
אישׁ יה,Jesse
נתן,Nathan
צרר,Tyre
אזן,to hear
אחר,back
אמץ,"to be strong, courageous"
בלע,to swallow
ברח,"bar, gate, lock"
בושׁ,shame
גנן,garden
חרה,"fury, burning"
טפף,children
כבד,"heavy, severe"
מוט,"to totter, shake"
ערר,"cave, Mearah"
פשׁע,"to transgress, rebel"
צדק,to be just
צוור,neck
רגז,"to quake, tremble, be excited"
תלע,worm
אחז,Ahaz
בוס,Jebusite
חזק יה,Hezekiah
אי,where?
אפה,ephah
בדד,pole
גנב,to steal
דגן,grain
חמל,to pity
יסר,"to instruct, warn, rebuke"
נטשׁ,to forsake
עוד,"to warn, testify"
עול,yoke
צלע,"side, rib"
צפר,bird
רחם,compassion
אשׁר,"Asherah, grove"
גלל,Gilgal
צפה,Mizpah
מרר,Merari
בהל,"to dismay, terrify, hasten"
די,enough
חרד,"to tremble, fear"
מרר,bitter
רמה,deceit
משׁל,proverb
נחה,to lead
קהל,to assemble
שׁמם,"desolation, horror"
שׁשׁ,linen
תאן,fig
ילד,generations
באר,Beer
גדע,Gideon
,Sodom
,Amalek
,purple
בין,understanding
זית,olive
זרה,to scatter
חדר,room
חיק,bosom
חפץ,delight
חרף,to reproach
כול,"to provide, contain"
כלם,to be humiliated
מטר,rain
מלא,fullness
מלל,"word, speech"
משׁח,anointed
עדר,flock
צפה,to watch
,heavens
ירשׁ,new wine
,Damascus
הדד,Hadad
חשׁב,Heshbon
עוה,Ai
שׁמשׁ,Samson
שׂער,Seir
שׂרר,Sarah
אמר,"word, utterance"
באר,well
גבה,high
גמל,"to reward, wean"
גרן,threshingfloor
חסה,to take refuge
ככב,star
כה,thus
לקט,"to gather, glean"
בצר,fortress
עשׁק,to oppress
עשׁר,riches
,concubine
פעל,work
שׁער,gatekeeper
גבע,Gibeon
חמת,Hamath
יה קום,Jehoiakim
,Sihon
קרח,Korah
קרה,Kirjath
רום,"Ramah, Ramath, Ramathaim"
אי,coastland
גיא,valley
חרב,"to be dry, waste"
חרשׁ,"engraver, craftsman"
טמא,uncleanness
יקר,precious
ישׁע,salvation
כנע,"to humble, subdue"
כרע,to bow down
